City,Date,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Max Apparent Temp (°C),Min Apparent Temp (°C),Mean Apparent Temp (°C),Sunrise,Sunset,Max Wind Speed (10m) (km/h),Max Wind Gusts (10m) (km/h),Dominant Wind Direction (°),Shortwave Radiation Sum (MJ/m²),PM10,PM2.5,NO,NO2,O3,SO2,CO,NH3,AQI
Islamabad,2024-01-30,15.2,7.6,11.7,14.0,4.8,10.0,2024-01-30T07:06,2024-01-30T17:36,10.1,16.9,28,8.55,103.39458333333333,83.83625,25.648750000000007,45.490833333333335,44.247499999999995,14.295833333333333,2144.2974999999997,10.64125,3.7916666666666665
Islamabad,2024-01-31,12.1,9.6,10.9,10.3,6.1,8.3,2024-01-31T07:05,2024-01-31T17:37,21.3,38.5,103,4.89,27.489166666666673,22.363749999999996,0.2054166666666666,27.288750000000007,54.83625,9.507499999999999,879.2479166666667,3.868333333333334,2.375
Islamabad,2024-02-01,13.2,6.1,9.7,11.3,3.6,7.4,2024-02-01T07:05,2024-02-01T17:38,13.9,27.7,96,11.48,124.03249999999998,97.85208333333333,58.123333333333335,67.23916666666666,18.653333333333332,16.44375,3320.6149999999993,18.379583333333333,4.291666666666667
Islamabad,2024-02-02,14.6,6.3,10.1,11.2,3.5,7.2,2024-02-02T07:04,2024-02-02T17:39,12.3,24.8,340,13.08,122.72458333333334,101.67500000000001,29.618750000000002,65.75416666666665,42.53291666666666,12.097500000000002,2623.8366666666666,33.19833333333334,4.458333333333333
Islamabad,2024-02-03,11.9,8.1,9.8,10.2,5.3,7.5,2024-02-03T07:03,2024-02-03T17:40,9.5,18.7,20,3.23,110.3145833333333,90.37291666666665,39.15541666666666,71.60166666666666,22.562499999999996,10.554583333333333,2834.400416666667,30.005,4.166666666666667
Islamabad,2024-02-04,12.2,6.3,9.2,9.9,4.1,7.2,2024-02-04T07:03,2024-02-04T17:41,16.1,34.2,344,10.54,176.05708333333337,145.83625,88.21791666666667,83.41125000000001,16.958333333333332,21.65125,4470.785833333333,60.17500000000001,4.583333333333333
Islamabad,2024-02-05,14.2,5.1,10.3,11.4,2.0,7.8,2024-02-05T07:02,2024-02-05T17:42,13.8,27.4,334,13.58,179.16750000000005,145.9966666666667,66.27208333333333,84.63166666666665,27.497083333333336,18.58125,3877.759166666667,63.95291666666666,4.541666666666667
Islamabad,2024-02-06,14.6,8.0,11.0,11.7,5.3,8.5,2024-02-06T07:01,2024-02-06T17:43,12.3,25.2,327,13.49,209.38708333333338,172.36250000000004,62.154166666666676,95.89125,25.924583333333334,20.98625,4004.040833333334,74.69749999999998,4.625
Islamabad,2024-02-07,15.4,5.0,10.4,11.8,1.6,7.1,2024-02-07T07:00,2024-02-07T17:44,16.3,31.0,333,14.06,-310.64166666666665,89.57958333333333,18.424166666666668,45.032916666666665,74.44458333333334,8.497083333333334,1890.8983333333335,25.38666666666666,4.291666666666667
Islamabad,2024-02-08,16.8,7.1,11.2,12.0,2.4,7.1,2024-02-08T06:59,2024-02-08T17:45,21.7,39.6,333,14.82,130.19125,108.76583333333333,4.164583333333334,57.91458333333333,74.57166666666667,10.845416666666667,1821.35875,38.32583333333333,4.25
